,Unnamed: 0,link,name,hierarchy,route_links
0,0,https://www.mountainproject.com/area/111719116/jojo-boulder,jojo-boulder,"['https://www.mountainproject.com/area/106598130/north-dakota', 'https://www.mountainproject.com/area/111719113/bi-way-boulders']",[]
1,1,https://www.mountainproject.com/area/111719120/would-you-rather,would-you-rather,"['https://www.mountainproject.com/area/106598130/north-dakota', 'https://www.mountainproject.com/area/111719113/bi-way-boulders']","['https://www.mountainproject.com/route/111719124/cat-weiner', 'https://www.mountainproject.com/route/111719129/clam-hands']"
2,2,https://www.mountainproject.com/area/113462332/gronk,gronk,"['https://www.mountainproject.com/area/106598130/north-dakota', 'https://www.mountainproject.com/area/113461271/killdeer-boulders']","['https://www.mountainproject.com/route/113462345/adult-gifts', 'https://www.mountainproject.com/route/113462335/fat-daisy']"
3,3,https://www.mountainproject.com/area/113845158/graveyard-boulder,graveyard-boulder,"['https://www.mountainproject.com/area/106598130/north-dakota', 'https://www.mountainproject.com/area/113845105/kintyre-boulders']","['https://www.mountainproject.com/route/113845200/jammin-just-cause', 'https://www.mountainproject.com/route/113845209/sloper-slapper']"
4,4,https://www.mountainproject.com/area/113845117/northern-boulder,northern-boulder,"['https://www.mountainproject.com/area/106598130/north-dakota', 'https://www.mountainproject.com/area/113845105/kintyre-boulders']","['https://www.mountainproject.com/route/113845139/catscratch', 'https://www.mountainproject.com/route/113845145/pinch-the-tip', 'https://www.mountainproject.com/route/113845121/plows-edge']"
5,5,https://www.mountainproject.com/area/110681499/moai-boulder,moai-boulder,"['https://www.mountainproject.com/area/106598130/north-dakota', 'https://www.mountainproject.com/area/110409833/sentinel-butte-bouldering', 'https://www.mountainproject.com/area/110681495/north-boulders']","['https://www.mountainproject.com/route/110681510/face-right-of-the-nose-project', 'https://www.mountainproject.com/route/110681504/the-nose-project']"
6,6,https://www.mountainproject.com/area/110756103/the-spire,the-spire,"['https://www.mountainproject.com/area/106598130/north-dakota', 'https://www.mountainproject.com/area/110409833/sentinel-butte-bouldering', 'https://www.mountainproject.com/area/110681495/north-boulders']","['https://www.mountainproject.com/route/110756152/the-heellotine', 'https://www.mountainproject.com/route/110756164/v1-slab-temp', 'https://www.mountainproject.com/route/110756115/viagra', 'https://www.mountainproject.com/route/110756139/viagra-low-project']"
7,7,https://www.mountainproject.com/area/110414021/a-frame-boulder,a-frame-boulder,"['https://www.mountainproject.com/area/106598130/north-dakota', 'https://www.mountainproject.com/area/110409833/sentinel-butte-bouldering', 'https://www.mountainproject.com/area/110410006/south-boulders']",['https://www.mountainproject.com/route/110417894/crustose']
8,8,https://www.mountainproject.com/area/110410035/turnbuckle-boulder,turnbuckle-boulder,"['https://www.mountainproject.com/area/106598130/north-dakota', 'https://www.mountainproject.com/area/110409833/sentinel-butte-bouldering', 'https://www.mountainproject.com/area/110410006/south-boulders']","['https://www.mountainproject.com/route/110410051/sunset-flip', 'https://www.mountainproject.com/route/110410084/turnbuckle-left', 'https://www.mountainproject.com/route/110413966/the-turnbuckle']"
9,9,https://www.mountainproject.com/area/110413995/v0-crack-boulder,v0-crack-boulder,"['https://www.mountainproject.com/area/106598130/north-dakota', 'https://www.mountainproject.com/area/110409833/sentinel-butte-bouldering', 'https://www.mountainproject.com/area/110410006/south-boulders']",['https://www.mountainproject.com/route/110413998/v0-crack']
10,10,https://www.mountainproject.com/area/110423524/butte-blocks,butte-blocks,"['https://www.mountainproject.com/area/106598130/north-dakota', 'https://www.mountainproject.com/area/110409833/sentinel-butte-bouldering']","['https://www.mountainproject.com/route/110423554/beat-the-champ-project', 'https://www.mountainproject.com/route/110423529/grudge-match']"
11,11,https://www.mountainproject.com/area/110681495/north-boulders,north-boulders,"['https://www.mountainproject.com/area/106598130/north-dakota', 'https://www.mountainproject.com/area/110409833/sentinel-butte-bouldering']",['https://www.mountainproject.com/area/110681499/moai-boulder']
12,12,https://www.mountainproject.com/area/110410006/south-boulders,south-boulders,"['https://www.mountainproject.com/area/106598130/north-dakota', 'https://www.mountainproject.com/area/110409833/sentinel-butte-bouldering']","['https://www.mountainproject.com/area/110414021/a-frame-boulder', 'https://www.mountainproject.com/area/110410035/turnbuckle-boulder']"
13,13,https://www.mountainproject.com/area/111719113/bi-way-boulders,bi-way-boulders,['https://www.mountainproject.com/area/106598130/north-dakota'],['https://www.mountainproject.com/area/111719116/jojo-boulder']
14,14,https://www.mountainproject.com/area/111354529/chimney-butte,chimney-butte,['https://www.mountainproject.com/area/106598130/north-dakota'],['https://www.mountainproject.com/route/115188964/the-chump-of-chimney-butte']
15,15,https://www.mountainproject.com/area/113461271/killdeer-boulders,killdeer-boulders,['https://www.mountainproject.com/area/106598130/north-dakota'],[]
16,16,https://www.mountainproject.com/area/113845105/kintyre-boulders,kintyre-boulders,['https://www.mountainproject.com/area/106598130/north-dakota'],['https://www.mountainproject.com/area/113845158/graveyard-boulder']
17,17,https://www.mountainproject.com/area/110388635/medora-interstate-rocks,medora-interstate-rocks,['https://www.mountainproject.com/area/106598130/north-dakota'],['https://www.mountainproject.com/route/110388638/cals-crack']
18,18,https://www.mountainproject.com/area/106598148/regan-rocks,regan-rocks,['https://www.mountainproject.com/area/106598130/north-dakota'],"['https://www.mountainproject.com/route/111564443/cheese-block', 'https://www.mountainproject.com/route/111564482/choss-is-his-name']"
19,19,https://www.mountainproject.com/area/106598213/sentinel-butte,sentinel-butte,['https://www.mountainproject.com/area/106598130/north-dakota'],"['https://www.mountainproject.com/route/115189062/american-black-eagle', 'https://www.mountainproject.com/route/110755963/the-great-roof', 'https://www.mountainproject.com/route/106598217/hells-heaven', 'https://www.mountainproject.com/route/110755732/powerline-crack', 'https://www.mountainproject.com/route/106598231/unknown-58', 'https://www.mountainproject.com/route/106598239/unnamed-58', 'https://www.mountainproject.com/route/110681366/volkswagen-crack']"
20,20,https://www.mountainproject.com/area/110409833/sentinel-butte-bouldering,sentinel-butte-bouldering,['https://www.mountainproject.com/area/106598130/north-dakota'],"['https://www.mountainproject.com/area/110423524/butte-blocks', 'https://www.mountainproject.com/area/110681495/north-boulders']"
21,21,https://www.mountainproject.com/area/113775244/square-butte,square-butte,['https://www.mountainproject.com/area/106598130/north-dakota'],"['https://www.mountainproject.com/route/113790739/off-width-his-head', 'https://www.mountainproject.com/route/113775252/red-cloud-crack']"
22,22,https://www.mountainproject.com/area/111341935/square-butte-bouldering,square-butte-bouldering,['https://www.mountainproject.com/area/106598130/north-dakota'],"['https://www.mountainproject.com/route/111342065/frodosynthesis', 'https://www.mountainproject.com/route/111341945/there-and-crack-again']"
